name,repo_clone_url,age,releases_number,stargazers
alluxio,https://github.com/Alluxio/alluxio,9.0,53,5561
config,https://github.com/lightbend/config,10.0,0,5553
ja-netfilter,https://github.com/ja-netfilter/ja-netfilter,0.0,1,5599
FlowLayout,https://github.com/hongyangAndroid/FlowLayout,6.0,0,5545
from-java-to-kotlin,https://github.com/MindorksOpenSource/from-java-to-kotlin,4.0,0,5553
aurora-imui,https://github.com/jpush/aurora-imui,5.0,42,5542
Java-Tutorial,https://github.com/h2pl/Java-Tutorial,3.0,0,5537
StickyListHeaders,https://github.com/emilsjolander/StickyListHeaders,10.0,16,5522
grafika,https://github.com/google/grafika,8.0,1,5515
disconf,https://github.com/knightliao/disconf,7.0,12,5513
freeline,https://github.com/alibaba/freeline,5.0,22,5494
mosby,https://github.com/sockeqwe/mosby,7.0,15,5483
smile,https://github.com/haifengl/smile,7.0,22,5478
